# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
326 -14549.6 1040.66 13985.4 5604.65 12742.5 -1682.02
327 -14256.1 -1344.81 16254.9 3857.33 8187.8 -802.648
328 -11264.9 -4074.33 16254.2 1927.07 1511.12 472.108
329 -7243.49 -5681.35 15301.3 576.954 -6196.53 581.947
330 -3289.29 -5412.36 13625.3 656.378 -13536.4 -1011.49
331 92.3775 -3436.98 10819.8 2199.31 -18987 -4010.58
332 2539.77 -288.704 7215.33 4316.64 -21523.8 -7827.36
333 3618.39 3325.31 4155.8 5967.34 -20984.2 -11186.8
334 1885.55 7089.97 4422.2 6746.87 -16867.9 -11547.1
335 -2231.81 10987.1 9872.63 7005.2 -8764.9 -8137.71
336 -3778.52 12946.2 16500.1 6464.44 914.087 -6453.4
337 -1860.82 12358.4 21493.7 4740.32 9937.75 -7247.69
338 2143.12 11164.8 23885.5 3325.77 14658.6 -9488.03
339 8638.39 10220.7 22195.2 4522.98 11002 -13480.2
340 13490.7 9352.6 17575.8 5968.19 3252.57 -16809.6
341 12868.4 8166.09 12013.9 4717.32 -2717.31 -17317.9
342 7119.77 7662.65 9364.89 1285.76 -4366.65 -13037.3
343 3166.07 7699.25 9902.51 -1371.18 -7500.31 -7500.07
344 4458.11 7332.84 11825.1 -2698.36 -15499.4 -4935.25
345 4636.54 8073.75 14605 -2450.39 -19504 -5505.46
346 1112.28 10149.4 16761.9 -1261.11 -15785.3 -7431.52
347 -1714.77 12476.9 17997.3 -1389.59 -9742.72 -8195.14
348 33.3849 13699.5 17983.3 -3962.03 -7852.39 -6273.35
349 5040.8 14041.9 16876.9 -6845.68 -9407.05 -1568.08
350 9920.75 13774.8 16184 -8178.45 -12201.7 3902.42
351 11750.6 12722.3 16933.4 -8040.42 -13900.1 8906.26
352 9781.28 10929.7 18390.1 -7593.22 -13092 12925.7
353 5671.83 8566.32 19216.5 -7699.07 -10048.8 14808.2
354 1923.36 5630.41 19001.9 -7926.35 -6200.3 14021.8
355 -11.5205 2508.08 18294.5 -7773.29 -2582.93 11297.2
356 -181.72 -337.654 17770.8 -7142.79 452.314 8158.27
357 830.174 -2973.09 17786.9 -5847.41 3121.48 5911.71
358 2426.54 -5499.35 18344.5 -3934.97 5805.51 4869.77
359 3934.66 -7543.18 19120.1 -1981.8 8410.22 4627.47
360 4653.44 -8588.02 19717.9 -629.858 9991.14 4665.4
361 4895.02 -8665.32 20146.7 -162.786 8944.33 4771.72
362 5241.75 -7813.94 20278.7 151.489 4764.83 4731.12
363 4841.37 -4591.11 18837.4 1764.63 359.644 3432.77
364 2683.64 1331.02 15291.7 4480.55 -1674.9 568.815
365 151.205 6926.04 12197.4 5887.91 -3075.27 -1341.85
366 -1940.67 10113.6 10873.3 4503.59 -4661.93 -296.074
367 -4023.51 11684.2 10969.6 1363.55 -5322.57 3705.31
368 -6112.62 13360.9 12080.9 -1021.24 -4788.04 8843.75
369 -7610.98 15445.1 13708.6 -1033.54 -3312.45 12429.8
370 -8056.92 17479.2 15907.8 883.642 -770.251 11923.4
371 -7844.62 19516.5 19252.6 3417.73 2797.92 5976.47
372 -6838.41 21243.1 22470.8 5225.83 5398.92 -2137.36
373 -4437.53 21800.5 23019.2 5253.62 4883.37 -6702.77
374 -996.042 20964.4 20418.8 3169.77 2055.17 -5506.15
375 3201.09 18947.1 15835.9 -465.684 -1366.83 978.71
376 6611.66 16641.3 11948.1 -4493.17 -3963.47 8152.65
377 8425.2 14292.3 9812.45 -7571.99 -5934.14 13039.4
378 9097.06 11598.2 8679.69 -8955.32 -7752.31 15544.8
379 9192.7 8766.41 8223.11 -8225.06 -8948.16 15614.8
380 8968.18 6291.94 8430.05 -4793.39 -9091.11 13471.1
381 8362.57 4467.84 9561.05 771.839 -8635.85 9541.75
382 6472.54 2768.22 11157.5 5796.14 -8448.13 4349.83
383 2026.83 299.456 12276 7508.52 -8141.67 -587.97
384 -2625.74 -1632.84 14973.9 5338.54 -7745.84 -3967.01
385 -6266.09 -2173.21 19469.6 159.758 -6855.05 -5993.05
386 -9024.45 -1744.89 23959.5 -5985.56 -4602.51 -7833.53
387 -10155.9 -945.55 27426.7 -11042.1 -2212.07 -9912.24
