# Time-averaged data for fix myRDF
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
100 100
38 3.75 0.987778 19.3491
39 3.85 1.03268 21.0777
40 3.95 1.02291 22.88
41 4.05 1.04672 24.8189
42 4.15 1.11746 26.992
43 4.25 1.11898 29.2743
44 4.35 1.08709 31.5971
45 4.45 1.05003 33.9451
46 4.55 1.02464 36.3406
47 4.65 1.01852 38.8274
48 4.75 1.02044 41.4274
49 4.85 1.03023 44.164
50 4.95 1.0314 47.0177
51 5.05 1.04154 50.0171
52 5.15 1.03699 53.1229
53 5.25 1.02946 56.3269
54 5.35 1.03551 59.6737
55 5.45 0.990038 62.9943
56 5.55 0.954496 66.3143
57 5.65 0.950647 69.7411
58 5.75 0.954314 73.304
59 5.85 0.973872 77.0674
60 5.95 0.90638 80.6909
61 6.05 0.936001 84.5594
62 6.15 0.996877 88.8171
63 6.25 1.00347 93.2434
64 6.35 0.962732 97.6269
65 6.45 0.965322 102.162
66 6.55 0.991392 106.965
67 6.65 1.02874 112.102
68 6.75 0.981387 117.151
69 6.85 0.995413 122.425
70 6.95 1.0197 127.987
71 7.05 0.990867 133.548
72 7.15 0.98237 139.219
73 7.25 1.00013 145.155
74 7.35 1.01055 151.319
75 7.45 1.02462 157.741
76 7.55 1.01605 164.281
77 7.65 1.03461 171.118
78 7.75 1.03431 178.133
79 7.85 1.02462 185.263
80 7.95 1.00015 192.401
81 8.05 1.01721 199.844
82 8.15 0.989962 207.269
83 8.25 1.00859 215.021
84 8.35 1.02391 223.082
85 8.45 1.01721 231.283
86 8.55 0.988954 239.447
87 8.65 1.00964 247.977
88 8.75 0.998788 256.612
89 8.85 1.01576 265.595
90 8.95 1.01436 274.77
91 9.05 0.998592 284.006
92 9.15 0.986913 293.336
93 9.25 0.991315 302.914
94 9.35 0.997898 312.765
95 9.45 0.993886 322.787
96 9.55 0.985232 332.933
97 9.65 0.988491 343.327
98 9.75 0.98004 353.847
99 9.85 0.970142 364.476
100 9.95 0.968575 375.304
900 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0.192478 0.024
12 1.15 3.45073 0.54
13 1.25 0.498089 0.628
14 1.35 0.0416019 0.636571
15 1.45 0.0769362 0.654857
16 1.55 1.46026 1.05143
17 1.65 2.14292 1.71086
18 1.75 1.03665 2.06971
19 1.85 1.13748 2.50971
20 1.95 1.58222 3.18971
21 2.05 0.50883 3.43143
22 2.15 0.2275 3.55029
23 2.25 0.338524 3.744
24 2.35 0.563102 4.09543
25 2.45 0.692475 4.56514
26 2.55 0.936243 5.25314
27 2.65 1.40683 6.36971
28 2.75 1.34385 7.51829
29 2.85 1.20588 8.62514
30 2.95 0.981283 9.59029
31 3.05 0.933312 10.5714
32 3.15 0.918798 11.6017
33 3.25 0.913897 12.6926
