# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
50000 0.473979 0.501959 0.502709 1.47865 715.146
50100 0.481311 0.463263 0.496004 1.44058 748.533
50200 0.52001 0.482831 0.540349 1.54319 750.431
50300 0.546393 0.47623 0.558754 1.58138 748.646
50400 0.582386 0.476977 0.545677 1.60504 769.936
50500 0.58726 0.500981 0.530885 1.61913 800.715
50600 0.559929 0.522649 0.528203 1.61078 765.774
50700 0.51492 0.529784 0.495414 1.54012 744.588
50800 0.500577 0.524981 0.4832 1.50876 737.915
50900 0.465711 0.526033 0.533319 1.52506 750.566
51000 0.471676 0.530415 0.590329 1.59242 758.976
51100 0.504602 0.525157 0.616276 1.64604 784.068
51200 0.545054 0.537116 0.607786 1.68996 763.322
51300 0.507429 0.535997 0.588975 1.6324 761.503
51400 0.559619 0.512991 0.573673 1.64628 765.261
51500 0.593415 0.516339 0.571527 1.68128 759.832
51600 0.61148 0.528177 0.528189 1.66785 725.719
51700 0.620846 0.533033 0.544015 1.69789 727.527
51800 0.643366 0.535988 0.584495 1.76385 753.7
51900 0.618302 0.570754 0.603941 1.793 750.552
52000 0.596025 0.616506 0.59476 1.80729 788.991
52100 0.597614 0.614767 0.625724 1.83811 782.803
52200 0.610111 0.592382 0.629415 1.83191 758.576
52300 0.635881 0.563642 0.633327 1.83285 753.613
52400 0.650484 0.575684 0.638236 1.8644 736.345
52500 0.694806 0.590658 0.630593 1.91606 758.168
52600 0.693589 0.613312 0.647306 1.95421 769.618
52700 0.662779 0.627061 0.682045 1.97188 792.416
52800 0.63523 0.6448 0.62927 1.9093 784.524
52900 0.630237 0.655073 0.616891 1.9022 757.537
53000 0.56984 0.621565 0.61173 1.80314 721.914
53100 0.541791 0.605497 0.562566 1.70985 772.489
53200 0.572377 0.587684 0.547444 1.70751 762.052
53300 0.574657 0.543158 0.541935 1.65975 782.857
53400 0.592787 0.53759 0.549728 1.6801 801.589
53500 0.632329 0.580601 0.586167 1.7991 800.579
53600 0.630282 0.572537 0.640516 1.84333 792.178
53700 0.620844 0.606891 0.651478 1.87921 748.959
53800 0.621293 0.647085 0.638342 1.90672 750.345
53900 0.643404 0.65358 0.648036 1.94502 779.85
54000 0.677616 0.656117 0.646717 1.98045 784.019
54100 0.690368 0.649795 0.653084 1.99325 809.008
54200 0.691328 0.666427 0.660201 2.01796 774.577
54300 0.663726 0.674383 0.641239 1.97935 777.124
54400 0.657697 0.637752 0.636009 1.93146 774.328
